clss,drive,highway_mpg,make,model
small sport utility vehicle,4wd,26,jeep,cherokee 4wd active drive ii
small sport utility vehicle,fwd,28,jeep,patriot fwd
large car,awd,28,bmw,740i xdrive
small sport utility vehicle,awd,27,subaru,forester awd
standard sport utility vehicle,4wd,22,gmc,yukon k1500 4wd
midsize car,awd,28,volvo,s80 awd
compact car,rwd,25,bmw,m4 coupe
small sport utility vehicle,awd,24,volvo,xc60 awd
two seater,rwd,25,chevrolet,corvette
small sport utility vehicle,awd,25,kia,sorento fe awd
small sport utility vehicle,fwd,29,kia,sportage fwd
subcompact car,awd,29,audi,s5 cabriolet
two seater,rwd,24,jaguar,f-type convertible
standard sport utility vehicle,rwd,21,cadillac,escalade esv 2wd
two seater,awd,20,audi,r8 spyder
small sport utility vehicle,awd,22,hyundai,santa fe ultimate awd
compact car,fwd,43,mitsubishi,mirage
small sport utility vehicle,awd,28,subaru,forester awd
midsize car,fwd,35,mazda,6
standard pickup truck,rwd,22,ram,1500 2wd
subcompact car,awd,25,bmw,650i xdrive convertible
compact car,rwd,28,genesis,g70 rwd
compact car,awd,29,acura,tlx awd a-spec
minicompact car,fwd,35,mini,cooper convertible
compact car,awd,33,audi,a4 quattro
small sport utility vehicle,awd,24,volvo,xc70 awd
small sport utility vehicle,4wd,27,jeep,patriot 4wd
small sport utility vehicle,fwd,28,hyundai,santa fe sport fwd
two seater,rwd,24,jaguar,f-type s coupe
compact car,awd,28,genesis,g70 awd
standard pickup truck,4wd,22,gmc,sierra k15 4wd
standard pickup truck,rwd,23,gmc,sierra c15 2wd
small sport utility vehicle,fwd,31,infiniti,qx50
small sport utility vehicle,awd,23,kia,sportage awd
two seater,awd,23,jaguar,f-type r awd coupe
compact car,fwd,35,acura,ilx
small sport utility vehicle,awd,26,hyundai,santa fe sport awd
midsize car,fwd,36,hyundai,elantra
small sport utility vehicle,awd,25,kia,sportage awd
two seater,awd,23,audi,r8
small sport utility vehicle,awd,30,chevrolet,equinox awd
compact car,fwd,33,audi,a4
compact car,fwd,41,mitsubishi,mirage
small sport utility vehicle,fwd,25,kia,sorento fwd
standard sport utility vehicle,awd,21,porsche,cayenne turbo
subcompact car,rwd,34,bmw,430i convertible
minicompact car,rwd,19,aston martin,db9
standard sport utility vehicle,4wd,19,jeep,grand cherokee srt8
subcompact car,awd,30,audi,s5
small sport utility vehicle,4wd,27,jeep,compass 4wd
subcompact car,rwd,19,aston martin,rapide s
midsize car,fwd,39,mazda,6
subcompact car,rwd,22,bmw,m6 convertible
compact car,rwd,24,bmw,m4 coupe
small sport utility vehicle,awd,27,audi,q5
compact car,rwd,33,bmw,430i coupe
compact car,fwd,30,acura,tlx fwd a-spec
compact car,awd,33,bmw,430i xdrive coupe
standard sport utility vehicle,4wd,20,gmc,yukon k1500 xl 4wd
compact car,fwd,33,hyundai,veloster
compact car,awd,34,audi,a4 quattro
subcompact car,rwd,29,bmw,640i convertible
small sport utility vehicle,awd,26,kia,sorento awd
minicompact car,fwd,37,mini,cooper convertible
two seater,rwd,27,jaguar,f-type convertible
compact car,fwd,36,toyota,corolla
two seater,awd,23,audi,r8 spyder
large car,rwd,26,kia,k900
large car,rwd,23,hyundai,equus
compact car,fwd,35,hyundai,veloster
compact car,rwd,32,bmw,440i coupe
small sport utility vehicle,fwd,32,mazda,cx-5 2wd
compact car,rwd,26,genesis,g70 rwd
midsize car,awd,29,audi,a7 quattro
compact car,rwd,29,bmw,640i gran coupe
subcompact car,rwd,29,ford,mustang
small sport utility vehicle,awd,24,kia,sorento awd
standard sport utility vehicle,awd,25,audi,q7
small sport utility vehicle,awd,27,acura,rdx awd
compact car,fwd,40,volkswagen,jetta
