city_mpg,cylndrs,drive,highway_mpg,make,transmission
20,6.0,rwd,29,bmw,a
21,4.0,rwd,33,bmw,m
20,4.0,awd,27,subaru,m
26,4.0,fwd,29,mitsubishi,a
22,4.0,rwd,32,bmw,a
28,4.0,fwd,34,hyundai,a
16,8.0,rwd,23,jaguar,a
17,6.0,fwd,23,hyundai,a
17,6.0,4wd,24,chevrolet,a
28,3.0,fwd,37,mini,a
19,6.0,fwd,27,cadillac,a
20,4.0,fwd,28,hyundai,a
17,6.0,awd,24,volvo,a
16,8.0,4wd,22,chevrolet,a
15,8.0,rwd,23,kia,a
13,8.0,4wd,19,jeep,a
18,4.0,awd,24,subaru,a
18,6.0,fwd,28,chrysler,a
26,4.0,fwd,32,hyundai,a
28,6.0,awd,31,acura,a
23,4.0,4wd,28,jeep,m
22,4.0,fwd,31,mini,m
19,6.0,fwd,28,honda,a
21,4.0,fwd,26,kia,a
15,8.0,rwd,22,roush performance,a
24,4.0,awd,29,hyundai,a
29,3.0,fwd,33,chevrolet,a
19,4.0,4wd,24,chevrolet,a
24,4.0,fwd,32,hyundai,m
11,8.0,rwd,18,bentley,a
15,6.0,rwd,24,jaguar,m
